LOGIN, LoginContentObject(USERNAME);LOGIN
;ERROR, ErrorContentObject(USERNAME_TAKEN, „The Username is taken“)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
LOGOUT;LOGOUT
;ERROR, ErrorContentObject(UNKOWN)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
CREATE_ROOM, CreateRoomContentObject(ROOM_NAME);CREATE_ROOM
;ERROR, ErrorContentObject(ROOM_EXISTS)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
JOIN_ROOM, JoinRoomContentObject(ROOM_ID);JOIN_ROOM
;ERROR, ErrorContentObject(ROOM_NOT_FOUND)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
LIST_ROOMS;LIST_ROOMS, ListRoomContentObject(ROOM_LIST)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
;
;
ROOM_CMD, RoomCommandContentObject(CHECK_EQUASION, EquasionContentObject(EQUASION));ROOM_CMD, RoomCommandContentObject(CHECK_EQUASION, CheckEquasionResultContentObject(lS_EQUASION_CORRECT)
;ERROR, ErrorContentObject(EQUASION_ALREADY_SOLVED)
;ERROR, ErrorContentObject(NOT_IN_ROOM)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
ROOM_CMD, RoomCommandContentObject(LIST_PLAYER);ROOM_CMD, RoomCommandContentObject(LIST_PLAYER, ListPlayerContentObject(LIST_OF_PLAYER))
;ERROR, ErrorContentObject(NOT_IN_ROOM)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
ROOM_CMD, RoomCommandContentObject(MESSAGE, MessageContentObject(MESSAGE));ROOM_CMD, RoomCommandContentObject(MESSAGE, ServerMessageContentObject(SENDER, MESSAGE))
;ERROR, ErrorContentObject(NOT_IN_ROOM)
;ERROR, ErrorContentObject(PARSE_ERROR)
;
ROOM_CMD, RoomCommandContentObject(COMMAND, CommandContentObject(MESSAGE));ROOM_CMD, RoomCommandContentObject(MESSAGE, MessageContentObject(MESSAGE))
;ERROR, ErrorContentObject(NOT_IN_ROOM)
;ERROR, ErrorContentObject(PARSE_ERROR)
